"Crash ID","Crash Date Time","Year","Full Route Name","Milepoint","Crash Severity","Manner of Collision","Roadway Junction Type ","Light Condition","Weather Condition","Roadway Surface Condition","Adverse Weather","Number of Vehicles Involved","Route Type","County","Crash Verified","Countermeasures","Crash Attributes","Crash Narrative","Crash Type","Left or U-Turn Involved","Location Description","Main Road Name","Route ID","Route Direction","Roadway Type","Roadway Description","Segment AADT"
"823805481","01/29/2023 10:06 AM",2023,"000---000",0,"No injury/PDO","Sideswipe Same Direction","Other*","Daylight","Cloudy","Wet","N",2,"Unknown","Utah",false,,"[""Adverse Roadway Surf Condition"",""Disregard Traffic Control Dev"",""Left U Turn Involved""]","Narrative not currently available","Other","Y","2 I15S X250 OFF; X250","2 I15S X250 OFF; X250","000-","-","-","[""One-Way"",""One-Way""]",
"823806770","02/02/2023 05:24 PM",2023,"000---000",0,"No injury/PDO","Angle","Business Drive","Daylight","Clear","Dry","N",2,"Unknown","Utah",false,,"Left U Turn Involved","Narrative not currently available","Other","Y","N MAIN ST & E 600 NORTH ST, at 25 Feet N of 600 NORTH MAIN STREET","N MAIN ST & E 600 NORTH ST","000-","-","-","[""Two-Way, Not Divided"",""Two-Way, Not Divided""]",
"823809852","02/16/2023 07:00 PM",2023,"000---000",0,"No injury/PDO","Front to Rear","Bridge (overpass/underpass)","Dark - Unknown Lighting","Clear","Dry","N",1,"Unknown","Utah",false,,"[""Night Dark Condition"",""Roadway Geometry Related""]","Narrative not currently available","Rear-End","N","I-15 Southbound, at 903 Feet N of Payson Main , at 1 tenths of a mile N of MP 251","I-15 Southbound","000-","-","-","Two-Way, Divided, Positive Median Barrier",
"823819235","03/30/2023 01:47 PM",2023,"000---000",0,"No injury/PDO","Not Applicable/Single Vehicle","Bridge (overpass/underpass)","Daylight","Snowing","Ice/Frost","Y",1,"Unknown","Utah",false,"[""Countermeasure: Pave Or Widen Shoulder"",""Countermeasure: Shoulder Rumblestrips""]","[""Adverse Roadway Surf Condition"",""Roadway Departure"",""Adverse Weather Involved"",""Collision With Fixed Object"",""Roadway Geometry Related"",""Speed Related""]","Narrative not currently available","Roadway Departure","N","I-15, at 1370 Feet S of BAMBERGER RD, at 1 tenths of a mile N of MP 251","I-15","000-","-","-","Two-Way, Divided, Positive Median Barrier",
"823823770","04/28/2023 02:33 PM",2023,"000---000",0,"No injury/PDO","Not Applicable/Single Vehicle","Bridge (overpass/underpass)","Daylight","Clear","Dry","N",1,"Unknown","Utah",false,,"Roadway Geometry Related","Narrative not currently available","Other","N","I-15, at 93 Feet N of MAIN ST., at 9 tenths of a mile N of MP 250","I-15","000-","-","-","Two-Way, Divided, Positive Median Barrier",
"823824474","05/03/2023 03:17 PM",2023,"000---000",0,"No injury/PDO","Front to Rear","No Special Feature/Junction","Daylight","Cloudy","Dry","N",3,"Unknown","Utah",false,,,"Narrative not currently available","Rear-End","N","600 N MAIN ST","600 N MAIN ST","000-","-","-","[""Two-Way, Divided, Unprotected Median"",""Two-Way, Divided, Unprotected Median"",""Two-Way, Divided, Unprotected Median""]",
"823824729","05/01/2023 04:13 PM",2023,"0115P",0.823,"Suspected Minor Injury","Angle","4-Leg Intersection","Daylight","Clear","Dry","N",2,"State","Utah",true,"Countermeasure: Left Turn Phase Change","[""Disregard Traffic Control Dev"",""Intersection Related"",""Left U Turn Involved""]","Narrative not currently available","Left Turn at Intersection","Y","900 N MAIN ST","900 N MAIN ST","0115","P","M","[""Two-Way, Not Divided"",""Two-Way, Not Divided""]",3293
"823828492","05/25/2023 07:50 AM",2023,"000---000",0,"No injury/PDO","Sideswipe Same Direction","On-Ramp","Daylight","Clear","Dry","N",2,"Unknown","Utah",false,,"Roadway Geometry Related","Narrative not currently available","Other","N","I-15 Northbound On Ramp, at 20 Feet E of Payson Main Street, at 9 tenths of a mile N of MP 250","I-15 Northbound On Ramp","000-","-","-","[""One-Way"",""One-Way""]",
"823830024","06/06/2023 10:41 AM",2023,"000---000",0,"No injury/PDO","Front to Rear","T-Intersection","Daylight","Clear","Dry","N",3,"Unknown","Utah",false,,"Intersection Related","Narrative not currently available","Rear-End","N","600 N MAIN ST","600 N MAIN ST","000-","-","-","[""Two-Way, Not Divided With a Continuous Left Turn Lane"",""Two-Way, Not Divided With a Continuous Left Turn Lane"",""Two-Way, Not Divided With a Continuous Left Turn Lane""]",
"823831546","06/14/2023 04:24 PM",2023,"000---000",0,"No injury/PDO","Angle","Off-Ramp","Daylight","Clear","Dry","N",2,"Unknown","Utah",false,,"[""Heavy Truck Involved"",""Right Turn Involved""]","Narrative not currently available","Other","N","2 I15S X250 OFF; X250","2 I15S X250 OFF; X250","000-","-","-","[""One-Way"",""One-Way""]",
"823842176","08/21/2023 11:26 AM",2023,"000---000",0,"No injury/PDO","Not Applicable/Single Vehicle","No Special Feature/Junction","Daylight","Clear","Dry","N",1,"Unknown","Utah",false,"Countermeasure: Pave Or Widen Shoulder","[""Roadway Departure"",""Collision With Fixed Object""]","Narrative not currently available","Roadway Departure","N","600 N MAIN ST","600 N MAIN ST","000-","-","-","Two-Way, Not Divided With a Continuous Left Turn Lane",
"823842207","08/17/2023 05:01 PM",2023,"000---000",0,"No injury/PDO","Front to Rear","4-Leg Intersection","Daylight","Rain","Wet","Y",2,"Unknown","Utah",false,,"[""Adverse Roadway Surf Condition"",""Adverse Weather Involved"",""Intersection Related"",""Speed Related""]","Narrative not currently available","Rear-End","N","925 N MAIN ST; UNDERPASS MAIN PA","925 N MAIN ST; UNDERPASS MAIN PA","000-","-","-","[""Two-Way, Not Divided With a Continuous Left Turn Lane"",""Two-Way, Not Divided With a Continuous Left Turn Lane""]",
"823845204","09/07/2023 09:02 AM",2023,"000---000",0,"No injury/PDO","Sideswipe Same Direction","On-Ramp","Daylight","Clear","Dry","N",2,"Unknown","Utah",false,,"[""Collision With Fixed Object"",""Right Turn Involved""]","Narrative not currently available","Other","N","2 I15S X250 ON; X250","2 I15S X250 ON; X250","000-","-","-","[""Two-Way, Not Divided"",""Two-Way, Not Divided""]",
